Full_Name,Lat,Long,YeStart,YeEnd,Gambiae,Funestus,min_1,max_1,min_2,max_2,min_3,max_3,min_4,max_4,min_5,max_5,min_6,max_6,min_7,max_7,min_8,max_8,min_9,max_9,min_10,max_10,min_11,max_11,min_12,max_12
Banikoara,11.2985,2.4386,2008,2010,1.0,0.0,11.0,41.7,12.9,45.8,13.2,47.9,20.7,50.2,23.4,47.3,21.2,47.0,20.4,42.7,20.7,35.8,20.3,35.1,21.9,37.7,16.9,40.9,12.9,41.5
Banikoara 1,11.2935,2.399,2008,2008,1.0,0.0,12.4,40.6,11.2,46.7,10.0,49.3,20.5,49.7,25.0,47.4,22.2,42.9,21.5,41.1,20.3,36.9,19.8,39.5,20.8,43.2,12.6,43.0,12.4,40.6
Banikoara 2,11.2972,2.4741,2008,2008,1.0,0.0,12.3,40.4,10.6,46.7,9.6,49.2,18.5,49.7,25.7,46.9,22.8,45.0,21.6,40.8,20.6,38.2,20.1,39.4,20.4,43.0,12.6,43.0,11.3,40.2
Banikoara 3,11.3076,2.4509,2008,2008,1.0,0.0,12.3,40.4,10.6,46.7,9.6,49.2,18.5,49.7,25.7,46.9,22.8,45.0,21.6,40.8,20.6,38.2,20.1,39.4,20.4,43.0,12.6,43.0,11.3,40.2
Banikani,11.220999999999998,3.0639999999999996,2015,2015,0.0,0.0,10.3,42.4,10.6,47.3,11.8,49.2,17.9,49.3,22.6,48.2,22.6,44.5,21.2,43.7,19.0,37.8,20.4,39.2,20.6,43.8,12.4,44.1,11.3,42.1
Congou,11.2004,2.908,2015,2015,0.0,0.0,10.3,42.4,10.6,47.3,11.8,49.2,17.9,49.3,22.6,48.2,22.6,44.5,21.2,43.7,19.0,37.8,20.4,39.2,20.6,43.8,12.4,44.1,11.3,42.1
Faba,11.3233,3.0401,2015,2015,0.0,0.0,10.9,42.2,11.2,47.1,12.6,49.3,18.3,49.1,23.8,47.9,23.4,45.8,21.7,44.1,19.4,39.9,20.7,40.2,20.2,44.3,11.7,44.4,10.3,41.4
Kossarou,11.1248,2.9360000000000004,2012,2013,1.0,1.0,8.1,42.9,10.6,45.3,12.3,47.2,22.2,49.0,22.3,48.9,20.5,45.3,21.2,40.0,19.1,35.5,20.7,38.1,20.2,41.3,14.8,42.2,11.5,41.7
Namarou,11.1793,2.9008,2015,2015,0.0,0.0,10.3,42.4,10.6,47.3,11.8,49.2,17.9,49.3,22.6,48.2,22.6,44.5,21.2,43.7,19.0,37.8,20.4,39.2,20.6,43.8,12.4,44.1,11.3,42.1
Saah,11.1747,3.0673,2015,2015,0.0,0.0,10.3,42.4,10.6,47.3,11.8,49.2,17.9,49.3,22.6,48.2,22.6,44.5,21.2,43.7,19.0,37.8,20.4,39.2,20.6,43.8,12.4,44.1,11.3,42.1
Sonsoro,11.0817,2.7699,1995,2015,1.0,1.0,10.4,42.5,12.5,47.7,12.7,49.0,19.8,49.5,22.0,47.6,22.5,44.9,21.0,44.1,18.7,38.0,20.5,39.0,20.4,43.3,12.1,43.3,11.1,42.0
Tissarou,11.1177,2.8792,2015,2015,0.0,0.0,10.3,42.4,10.6,47.3,11.8,49.2,17.9,49.3,22.6,48.2,22.6,44.5,21.2,43.7,19.0,37.8,20.4,39.2,20.6,43.8,12.4,44.1,11.3,42.1
Tui,11.2867,3.0213,2012,2013,1.0,0.0,8.1,42.9,10.6,45.3,12.3,47.2,22.2,49.0,22.3,48.9,20.5,45.3,21.2,40.0,19.1,35.5,20.7,38.1,20.2,41.3,14.8,42.2,11.5,41.7
Yondarou,11.05,2.733,2012,2013,1.0,0.0,8.5,43.0,10.9,45.6,12.2,46.8,21.6,48.9,22.0,49.4,20.3,46.0,20.9,39.4,19.4,36.0,20.5,38.1,20.0,40.6,14.9,42.7,12.0,42.4
Gansosso,12.3691,2.8662,2012,2013,0.0,1.0,9.2,39.3,12.9,44.5,12.8,46.3,19.5,50.4,23.3,50.2,23.5,47.5,22.4,41.7,20.8,40.8,22.1,41.5,20.0,45.3,14.6,45.0,10.4,43.8
Karimama,12.0667,3.1833,2001,2001,0.0,0.0,10.7,42.3,11.4,41.3,13.1,44.9,15.1,50.8,18.0,50.0,23.9,49.1,21.7,46.7,22.6,43.7,21.3,46.3,12.9,45.4,8.9,42.3,11.6,40.0
Moune,12.1,3.05,1998,1998,1.0,0.0,11.9,41.7,12.2,43.4,14.4,46.8,20.3,47.1,24.3,47.0,23.4,45.7,21.9,41.3,21.5,41.6,21.1,43.6,23.1,45.0,12.1,45.9,11.0,41.7
Arobanda,11.8514,3.3959,2012,2012,1.0,0.0,11.5,40.4,14.2,46.8,14.5,48.2,15.5,50.2,23.2,50.4,23.8,46.7,22.1,44.6,20.8,38.1,21.4,40.1,16.3,42.0,12.9,41.5,9.8,37.6
Bodjecali,11.8002,3.4367,2012,2015,1.0,0.0,11.7,42.1,14.6,47.4,11.9,49.5,15.9,50.8,24.9,49.3,24.3,47.0,22.5,45.1,20.4,42.0,21.3,41.6,17.4,44.9,13.7,44.8,11.0,41.9
Madecali,11.6981,3.5513,2015,2015,0.0,0.0,11.5,42.5,13.1,47.9,12.0,49.9,17.1,50.6,24.5,48.7,24.2,46.7,22.3,44.2,20.1,40.4,21.2,40.5,17.8,43.6,14.3,43.7,10.6,42.0
Mounin,11.8758,3.3487,2015,2015,0.0,0.0,11.7,42.1,14.6,47.4,11.9,49.5,15.9,50.8,24.9,49.3,24.3,47.0,22.5,45.1,20.4,42.0,21.3,41.6,17.4,44.9,13.7,44.8,11.0,41.9
Kandi 1,11.2667,3.5833,2008,2008,1.0,0.0,10.8,40.8,10.8,47.2,12.4,49.4,20.9,50.4,25.6,48.0,22.9,45.9,21.5,41.9,20.6,36.7,20.4,38.5,20.3,43.1,13.2,42.7,10.5,42.5
Kandi 3,11.15,3.5333,2008,2008,1.0,0.0,10.8,40.8,10.8,47.2,12.4,49.4,20.9,50.4,25.6,48.0,22.9,45.9,21.5,41.9,20.6,36.7,20.4,38.5,20.3,43.1,13.2,42.7,10.5,42.5
Coutagou,10.1438,1.14,2015,2015,0.0,0.0,12.9,41.2,11.3,42.6,11.1,44.1,19.9,44.6,22.2,40.4,21.0,38.8,20.5,36.5,17.7,33.7,19.5,34.8,19.6,37.8,16.9,38.5,11.9,39.2
Kounadogou,10.167,1.099,2010,2010,1.0,1.0,11.5,41.8,12.5,43.6,14.2,45.3,22.4,44.2,21.9,42.8,21.4,41.6,19.6,38.6,20.7,32.6,19.9,33.8,21.1,36.1,18.8,38.9,14.9,39.6
Koutangou,10.251,1.083,2010,2010,1.0,1.0,10.4,42.5,13.3,43.8,14.7,45.8,22.1,44.8,21.8,44.6,21.9,42.2,20.3,39.6,21.0,33.6,20.4,35.5,21.5,37.0,18.6,39.6,15.2,40.5
Zongo,10.1743,1.1021,2010,2010,1.0,1.0,11.5,41.8,12.5,43.6,14.2,45.3,22.4,44.2,21.9,42.8,21.4,41.6,19.6,38.6,20.7,32.6,19.9,33.8,21.1,36.1,18.8,38.9,14.9,39.6
Karigourou,10.8305,2.1142,2010,2010,1.0,0.0,9.7,41.6,12.3,44.7,13.9,47.1,21.2,48.0,23.2,45.5,21.4,45.6,20.3,41.2,20.9,35.7,20.7,35.4,21.8,37.5,16.4,39.9,11.5,40.0
Cobly,10.4805,1.0144,2009,2015,1.0,1.0,13.9,41.8,12.2,44.1,9.8,45.1,20.2,45.3,22.4,40.7,21.1,39.3,20.9,37.4,18.9,34.1,19.8,36.3,19.8,38.8,17.0,39.8,14.1,40.4
Cobly - Nouagou,10.4797,1.0143,2015,2015,0.0,0.0,13.9,41.8,12.2,44.1,9.8,45.1,20.2,45.3,22.4,40.7,21.1,39.3,20.9,37.4,18.9,34.1,19.8,36.3,19.8,38.8,17.0,39.8,14.1,40.4
Cobly -Zongo,10.4796,1.0143,2015,2015,0.0,0.0,13.9,41.8,12.2,44.1,9.8,45.1,20.2,45.3,22.4,40.7,21.1,39.3,20.9,37.4,18.9,34.1,19.8,36.3,19.8,38.8,17.0,39.8,14.1,40.4
Bassilou,10.3255,1.6875,2010,2010,1.0,0.0,9.8,40.6,10.8,41.3,14.9,43.1,20.5,44.0,21.3,41.9,20.8,41.1,19.5,37.6,20.7,34.2,20.6,35.7,20.8,36.9,17.2,37.8,14.1,38.0
Beke-Bourame,10.309000000000001,1.7415,2012,2012,1.0,0.0,11.8,38.2,9.3,40.8,12.2,42.4,15.3,43.8,21.1,42.6,20.5,39.5,19.6,37.0,19.5,32.8,19.8,35.3,17.9,38.1,10.5,37.9,9.5,37.4
Goufanrou,10.0489,1.7583,2012,2012,1.0,0.0,10.6,38.6,12.9,41.2,12.9,43.4,14.4,44.5,21.3,43.2,20.9,40.2,19.7,37.4,19.2,33.4,20.1,35.4,18.3,38.3,9.6,37.9,10.2,38.1
Mary,10.3286,1.7087,2012,2014,1.0,0.0,9.4,40.7,9.8,43.7,16.7,44.5,22.2,43.9,21.6,41.4,19.3,38.9,19.3,37.2,18.5,33.6,19.3,37.3,18.8,37.8,13.5,38.8,10.0,38.1
Nassoukou,10.7724,1.8238,2012,2012,1.0,0.0,11.7,38.6,9.6,41.5,13.4,43.3,14.0,44.3,21.3,43.2,21.0,40.7,20.0,38.0,19.7,34.0,20.1,36.5,18.6,39.6,9.3,38.6,9.8,37.1
Nianssera,10.362,1.635,2012,2012,1.0,0.0,11.8,38.2,9.3,40.8,12.2,42.4,15.3,43.8,21.1,42.6,20.5,39.5,19.6,37.0,19.5,32.8,19.8,35.3,17.9,38.1,10.5,37.9,9.5,37.4
Niaro,10.187000000000001,1.6019999999999999,2010,2010,1.0,1.0,11.3,40.5,11.4,42.3,13.9,43.3,21.1,43.6,21.4,41.6,20.9,41.0,19.1,37.8,20.7,33.2,20.1,34.3,20.7,36.5,18.0,37.8,13.4,38.4
Kouforpissiga,10.7174,0.9009999999999999,2015,2015,0.0,1.0,12.8,41.9,10.2,44.7,9.8,45.4,19.6,45.8,23.3,42.7,22.2,40.4,21.4,38.5,19.9,35.1,20.1,36.5,20.6,39.9,17.3,40.3,13.5,40.7
Materi,10.7279,0.9940000000000001,2010,2013,1.0,0.0,10.9,39.8,12.1,44.4,14.4,45.3,21.9,44.5,23.0,44.4,21.4,40.7,20.5,36.2,18.8,35.0,20.2,37.6,21.3,40.0,16.9,41.8,13.6,41.4
Nambouli,10.8746,0.9547,2012,2012,1.0,0.0,12.3,42.0,14.5,43.6,18.8,44.8,16.5,47.0,24.0,47.1,23.7,41.7,21.5,40.1,20.7,36.4,21.3,38.9,19.1,40.8,13.1,41.3,10.3,39.7
Nanka,10.6916,1.0671,2010,2010,1.0,0.0,8.9,42.0,12.5,43.2,15.7,44.4,20.5,44.7,21.1,43.8,21.8,42.7,20.4,39.6,21.0,34.8,20.8,36.4,21.6,37.1,18.1,39.6,16.0,39.8
Pingou,10.6909,1.1082,2012,2012,1.0,0.0,12.8,40.9,11.6,42.2,17.0,44.2,16.6,45.1,22.2,45.1,22.5,40.0,20.3,38.3,19.6,33.9,20.4,36.7,18.7,38.9,13.5,39.5,10.6,38.7
Sakoehoum,10.9369,1.0624,2012,2012,1.0,0.0,12.3,42.0,14.5,43.6,18.8,44.8,16.5,47.0,24.0,47.1,23.7,41.7,21.5,40.1,20.7,36.4,21.3,38.9,19.1,40.8,13.1,41.3,10.3,39.7
Sakonou,10.7659,1.0147,2012,2012,1.0,0.0,12.3,42.0,14.5,43.6,18.8,44.8,16.5,47.0,24.0,47.1,23.7,41.7,21.5,40.1,20.7,36.4,21.3,38.9,19.1,40.8,13.1,41.3,10.3,39.7
Bercingou,10.234,1.383,2010,2010,1.0,0.0,8.6,40.8,11.6,42.4,16.0,43.6,20.8,44.6,21.3,41.8,21.3,40.6,19.7,38.2,20.7,34.0,20.4,35.4,20.9,36.5,18.2,38.6,15.3,38.8
Kota-Monongou,10.242,1.454,2012,2012,1.0,0.0,10.3,39.1,13.0,41.3,14.7,42.8,15.1,44.5,21.5,43.2,20.5,39.4,19.5,37.1,19.3,32.4,19.7,35.1,17.5,37.3,11.3,38.2,9.9,38.1
Sotchiratikou,10.333,1.3840000000000001,2012,2012,1.0,0.0,11.8,39.5,10.8,41.0,15.6,43.2,15.4,44.0,21.0,43.3,21.0,38.7,19.6,37.0,19.1,32.5,19.4,35.2,17.9,37.5,12.5,38.4,10.2,38.1
Yarikou,10.3916,1.5729,2012,2012,1.0,0.0,11.8,38.2,9.3,40.8,12.2,42.4,15.3,43.8,21.1,42.6,20.5,39.5,19.6,37.0,19.5,32.8,19.8,35.3,17.9,38.1,10.5,37.9,9.5,37.4
Banikani,10.2249,2.0001,2010,2010,1.0,0.0,10.6,42.4,10.4,44.0,12.3,45.8,21.7,45.5,22.0,45.0,20.7,44.3,19.5,39.9,21.0,34.5,20.5,35.4,21.0,36.5,17.3,38.6,9.3,38.8
Gb�ba,10.2504,1.9914,2010,2010,1.0,1.0,9.9,41.2,10.7,42.8,13.0,44.8,20.9,43.9,21.9,43.5,20.9,43.0,19.6,38.7,21.1,34.4,20.7,36.1,20.8,36.8,16.4,38.1,10.1,38.2
Gonri,10.252,2.048,2012,2012,1.0,0.0,9.7,39.6,12.2,43.7,11.9,44.9,15.0,47.0,21.5,45.5,21.4,41.8,20.1,38.5,19.2,35.7,19.9,35.6,18.9,38.3,9.7,37.4,9.6,39.1
Niemasson,10.4124,2.01,2012,2012,1.0,0.0,10.3,38.9,12.2,42.8,11.9,44.1,13.7,45.6,21.1,44.5,21.4,40.8,20.3,38.2,19.8,34.7,20.4,36.3,18.7,39.9,9.3,38.4,9.2,37.9
Pehunco,10.2283,2.0019,2009,2013,1.0,0.0,7.7,40.8,9.5,43.9,11.1,45.4,20.5,46.1,21.3,46.3,19.6,42.3,19.3,34.6,18.4,33.6,19.6,36.2,19.9,39.3,16.0,40.3,12.4,38.8
Sinaou,10.163,2.194,2012,2012,1.0,0.0,9.7,39.6,12.2,43.7,11.9,44.9,15.0,47.0,21.5,45.5,21.4,41.8,20.1,38.5,19.2,35.7,19.9,35.6,18.9,38.3,9.7,37.4,9.6,39.1
Soammborekou,10.1919,1.9565,2012,2012,1.0,0.0,9.7,39.6,12.2,43.7,11.9,44.9,15.0,47.0,21.5,45.5,21.4,41.8,20.1,38.5,19.2,35.7,19.9,35.6,18.9,38.3,9.7,37.4,9.6,39.1
Biacou,10.584000000000001,1.232,2012,2014,1.0,0.0,10.6,41.9,13.8,45.3,16.4,46.8,22.7,46.1,21.6,41.5,19.5,40.3,19.7,37.7,18.2,36.4,19.7,36.5,19.3,38.7,14.5,40.2,13.5,39.6
Jambala Kodilou,10.8363,1.3877,2015,2015,0.0,0.0,13.1,41.7,12.1,44.8,11.9,44.9,18.2,46.4,23.0,42.8,21.7,40.6,20.9,37.8,18.2,34.8,20.3,37.3,20.4,40.1,16.5,40.9,13.2,40.4
Korongkore,10.5821,1.3296,2012,2012,1.0,0.0,12.8,40.9,11.6,42.2,17.0,44.2,16.6,45.1,22.2,45.1,22.5,40.0,20.3,38.3,19.6,33.9,20.4,36.7,18.7,38.9,13.5,39.5,10.6,38.7
Ouanko,10.463,1.17,2012,2012,1.0,0.0,11.7,42.4,12.7,43.1,18.8,44.6,18.0,45.9,23.2,46.2,22.1,40.8,20.4,38.7,19.7,35.2,20.0,36.9,18.8,39.3,13.8,40.7,10.8,39.6
Taiacou,10.5427,1.2026,2012,2014,1.0,0.0,10.6,41.9,13.8,45.3,16.4,46.8,22.7,46.1,21.6,41.5,19.5,40.3,19.7,37.7,18.2,36.4,19.7,36.5,19.3,38.7,14.5,40.2,13.5,39.6
Tanguieta,10.5667,1.2667,2007,2013,1.0,0.0,9.5,38.6,10.1,44.2,13.1,44.0,21.3,43.9,22.2,42.5,20.5,39.6,19.8,34.7,18.6,32.7,19.5,36.4,21.0,38.8,16.1,40.1,10.9,39.8
Tchawasaga,10.7458,1.3882,2015,2015,0.0,0.0,13.1,41.7,12.1,44.8,11.9,44.9,18.2,46.4,23.0,42.8,21.7,40.6,20.9,37.8,18.2,34.8,20.3,37.3,20.4,40.1,16.5,40.9,13.2,40.4
Thanwassaka,10.767000000000001,1.399,2010,2010,1.0,1.0,9.9,41.9,12.2,43.5,14.7,44.8,19.7,45.5,21.0,45.4,21.8,43.9,20.5,40.3,21.0,36.1,20.6,36.5,21.0,38.4,17.6,40.0,15.5,39.9
Tora,10.6654,1.3492,2012,2012,1.0,0.0,12.8,40.9,11.6,42.2,17.0,44.2,16.6,45.1,22.2,45.1,22.5,40.0,20.3,38.3,19.6,33.9,20.4,36.7,18.7,38.9,13.5,39.5,10.6,38.7
Yarka,10.626,1.2688,2010,2010,1.0,0.0,8.9,42.0,12.5,43.2,15.7,44.4,20.5,44.7,21.1,43.8,21.8,42.7,20.4,39.6,21.0,34.8,20.8,36.4,21.6,37.1,18.1,39.6,16.0,39.8
Sanga,10.4931,1.3714,2010,2010,1.0,0.0,8.6,40.8,11.6,42.4,16.0,43.6,20.8,44.6,21.3,41.8,21.3,40.6,19.7,38.2,20.7,34.0,20.4,35.4,20.9,36.5,18.2,38.6,15.3,38.8
Tectibayaou,10.4857,1.4176,2010,2010,1.0,1.0,8.6,40.8,11.6,42.4,16.0,43.6,20.8,44.6,21.3,41.8,21.3,40.6,19.7,38.2,20.7,34.0,20.4,35.4,20.9,36.5,18.2,38.6,15.3,38.8
Toukountouna,10.4957,1.3783,2009,2011,1.0,0.0,11.5,40.8,12.4,44.0,9.4,43.6,16.7,45.5,22.8,39.7,21.6,38.8,19.2,37.2,19.9,33.9,19.6,34.0,20.5,36.2,15.5,38.5,6.9,38.7
Aidjedo,6.4,2.3333,2007,2009,1.0,1.0,20.0,36.0,21.0,36.0,23.0,33.0,23.0,33.0,23.0,33.0,22.0,32.0,22.0,30.0,22.0,30.0,22.0,30.0,22.0,32.0,24.0,34.0,23.0,34.0
Lokohoue,6.4672,2.2558,2007,2011,1.0,1.0,20.7,39.5,23.3,39.4,24.3,40.3,24.6,38.0,24.0,36.4,21.7,34.4,21.6,32.4,20.1,33.1,21.5,32.6,22.1,33.3,22.3,35.7,21.1,39.2
Allada,6.6645,2.1598,2006,2013,1.0,0.0,15.0,38.0,20.8,36.8,23.8,37.2,22.3,36.9,20.0,35.3,21.5,34.3,20.7,30.6,19.4,30.4,20.8,32.9,21.0,33.9,22.4,35.0,20.4,37.0
Allomey,6.6708,2.1508,2012,2012,1.0,1.0,16.2,36.2,22.3,35.1,24.4,36.4,22.5,36.8,23.5,35.9,22.2,34.0,21.2,31.8,20.5,32.0,21.6,32.5,20.8,32.1,21.6,34.5,17.5,37.2
Niaouli,6.7333,2.1333,2006,2012,1.0,1.0,15.2,39.2,20.7,38.2,23.3,39.9,22.1,41.5,22.8,39.7,21.4,36.4,20.8,33.5,19.6,34.3,21.3,34.2,20.4,33.4,21.1,36.3,15.9,37.9
Abenihoue,6.4925,2.0261,2007,2009,1.0,1.0,14.3,39.5,15.1,39.6,23.7,39.6,22.9,36.5,22.9,37.5,22.6,34.5,21.4,31.4,21.3,31.8,22.0,31.9,22.0,34.0,21.6,36.2,18.1,37.5
Adjame,6.433,1.9922,2007,2009,1.0,1.0,14.3,39.5,15.1,39.6,23.7,39.6,22.9,36.5,22.9,37.5,22.6,34.5,21.4,31.4,21.3,31.8,22.0,31.9,22.0,34.0,21.6,36.2,18.1,37.5
Agokon,6.4898,2.0623,2007,2009,1.0,1.0,14.3,39.5,15.1,39.6,23.7,39.6,22.9,36.5,22.9,37.5,22.6,34.5,21.4,31.4,21.3,31.8,22.0,31.9,22.0,34.0,21.6,36.2,18.1,37.5
Dekponhoue,6.4915,2.0422,2007,2009,1.0,1.0,14.3,39.5,15.1,39.6,23.7,39.6,22.9,36.5,22.9,37.5,22.6,34.5,21.4,31.4,21.3,31.8,22.0,31.9,22.0,34.0,21.6,36.2,18.1,37.5
Gbedjougo,6.443,2.0481,2007,2010,0.0,1.0,17.4,38.5,23.7,35.6,24.1,36.2,23.6,35.9,23.0,34.9,22.7,33.4,21.4,30.2,21.6,32.0,21.5,33.2,22.5,35.9,20.0,37.2,20.8,36.7
Gbetaga,6.4652,2.0303,2007,2010,0.0,1.0,17.4,38.5,23.7,35.6,24.1,36.2,23.6,35.9,23.0,34.9,22.7,33.4,21.4,30.2,21.6,32.0,21.5,33.2,22.5,35.9,20.0,37.2,20.8,36.7
Hinmadou,6.5241,2.0343,2007,2009,1.0,1.0,14.3,39.5,15.1,39.6,23.7,39.6,22.9,36.5,22.9,37.5,22.6,34.5,21.4,31.4,21.3,31.8,22.0,31.9,22.0,34.0,21.6,36.2,18.1,37.5
Kindjitokpa,6.4088,1.9799,2007,2009,1.0,1.0,19.3,35.3,19.3,35.6,25.6,35.2,24.7,33.1,24.8,33.6,24.2,31.2,23.0,29.2,22.4,29.1,23.2,29.6,23.4,31.2,23.9,33.0,21.3,34.0
Kpomasse,6.5102,2.0469,2009,2009,0.0,0.0,14.3,39.5,15.1,39.6,23.7,39.6,22.9,36.5,22.9,37.5,22.6,34.5,21.4,31.4,21.3,31.8,22.0,31.9,22.0,34.0,21.6,36.2,18.1,37.5
Amoulehoue,6.4437,2.1224,2007,2009,1.0,1.0,14.3,39.5,15.1,39.6,23.7,39.6,22.9,36.5,22.9,37.5,22.6,34.5,21.4,31.4,21.3,31.8,22.0,31.9,22.0,34.0,21.6,36.2,18.1,37.5
Assogbenou Daho,6.457000000000001,2.0904,2007,2009,1.0,1.0,14.3,39.5,15.1,39.6,23.7,39.6,22.9,36.5,22.9,37.5,22.6,34.5,21.4,31.4,21.3,31.8,22.0,31.9,22.0,34.0,21.6,36.2,18.1,37.5
Dohinoko,6.4153,2.0555,2007,2009,1.0,1.0,14.3,39.5,15.1,39.6,23.7,39.6,22.9,36.5,22.9,37.5,22.6,34.5,21.4,31.4,21.3,31.8,22.0,31.9,22.0,34.0,21.6,36.2,18.1,37.5
Guezohoue,6.4833,2.0833,2007,2009,1.0,1.0,14.3,39.5,15.1,39.6,23.7,39.6,22.9,36.5,22.9,37.5,22.6,34.5,21.4,31.4,21.3,31.8,22.0,31.9,22.0,34.0,21.6,36.2,18.1,37.5
Hekandji,6.4167,2.1167,2007,2009,1.0,1.0,14.3,39.5,15.1,39.6,23.7,39.6,22.9,36.5,22.9,37.5,22.6,34.5,21.4,31.4,21.3,31.8,22.0,31.9,22.0,34.0,21.6,36.2,18.1,37.5
Pahou,6.3684,2.2109,2006,2016,1.0,1.0,19.0,32.2,25.9,31.9,26.2,32.1,25.5,33.0,26.0,33.4,24.2,30.4,23.7,30.1,23.3,28.5,23.5,29.1,23.6,32.2,24.6,32.8,21.0,34.9
Savi,6.4167,2.1,2007,2009,1.0,0.0,14.3,39.5,15.1,39.6,23.7,39.6,22.9,36.5,22.9,37.5,22.6,34.5,21.4,31.4,21.3,31.8,22.0,31.9,22.0,34.0,21.6,36.2,18.1,37.5
Tokoli Vidjinnagnimon,6.4509,2.15,2007,2011,1.0,1.0,20.5,39.0,23.4,39.1,24.0,39.2,24.3,37.8,23.5,35.5,21.5,33.8,21.3,32.3,19.7,33.0,21.5,32.6,22.0,32.6,22.0,35.3,20.8,38.6
Houegbo,6.8,2.1667,2006,2006,1.0,0.0,12.6,41.5,21.9,43.0,22.9,41.4,23.5,40.7,22.5,37.8,21.4,37.6,20.5,35.7,20.0,35.2,20.8,34.9,22.1,37.8,21.1,39.8,19.8,40.7
Adjahassa,6.55,2.1558,2007,2009,1.0,1.0,14.3,39.5,15.1,39.6,23.7,39.6,22.9,36.5,22.9,37.5,22.6,34.5,21.4,31.4,21.3,31.8,22.0,31.9,22.0,34.0,21.6,36.2,18.1,37.5
Agadon,6.5618,2.1003,2007,2009,1.0,1.0,14.3,39.5,15.1,39.6,23.7,39.6,22.9,36.5,22.9,37.5,22.6,34.5,21.4,31.4,21.3,31.8,22.0,31.9,22.0,34.0,21.6,36.2,18.1,37.5
Agouako,6.5119,2.1643,2007,2009,1.0,1.0,14.3,39.5,15.1,39.6,23.7,39.6,22.9,36.5,22.9,37.5,22.6,34.5,21.4,31.4,21.3,31.8,22.0,31.9,22.0,34.0,21.6,36.2,18.1,37.5
Avame centre,6.5,2.2167,2007,2010,1.0,1.0,17.4,38.5,23.7,35.6,24.1,36.2,23.6,35.9,23.0,34.9,22.7,33.4,21.4,30.2,21.6,32.0,21.5,33.2,22.5,35.9,20.0,37.2,20.8,36.7
Ayidohoue,6.5285,2.1002,2007,2009,1.0,1.0,14.3,39.5,15.1,39.6,23.7,39.6,22.9,36.5,22.9,37.5,22.6,34.5,21.4,31.4,21.3,31.8,22.0,31.9,22.0,34.0,21.6,36.2,18.1,37.5
Dokanmey,6.55,2.2167,2007,2009,1.0,1.0,14.3,39.5,15.1,39.6,23.7,39.6,22.9,36.5,22.9,37.5,22.6,34.5,21.4,31.4,21.3,31.8,22.0,31.9,22.0,34.0,21.6,36.2,18.1,37.5
Hla,6.5133,2.2047,2007,2009,1.0,1.0,14.3,39.5,15.1,39.6,23.7,39.6,22.9,36.5,22.9,37.5,22.6,34.5,21.4,31.4,21.3,31.8,22.0,31.9,22.0,34.0,21.6,36.2,18.1,37.5
Hounkponouhoue,6.5615,2.0848,2007,2009,1.0,1.0,14.3,39.5,15.1,39.6,23.7,39.6,22.9,36.5,22.9,37.5,22.6,34.5,21.4,31.4,21.3,31.8,22.0,31.9,22.0,34.0,21.6,36.2,18.1,37.5
Manguevie,6.4749,2.1596,2007,2009,1.0,1.0,14.3,39.5,15.1,39.6,23.7,39.6,22.9,36.5,22.9,37.5,22.6,34.5,21.4,31.4,21.3,31.8,22.0,31.9,22.0,34.0,21.6,36.2,18.1,37.5
Satre,6.5667,2.0667,2007,2009,1.0,1.0,14.3,39.5,15.1,39.6,23.7,39.6,22.9,36.5,22.9,37.5,22.6,34.5,21.4,31.4,21.3,31.8,22.0,31.9,22.0,34.0,21.6,36.2,18.1,37.5
Soko,6.5964,2.0857,2007,2009,1.0,1.0,14.3,39.5,15.1,39.6,23.7,39.6,22.9,36.5,22.9,37.5,22.6,34.5,21.4,31.4,21.3,31.8,22.0,31.9,22.0,34.0,21.6,36.2,18.1,37.5
