Full_Name,Lat,Long,YeStart,YeEnd,Gambiae,Funestus,min_1,max_1,min_2,max_2,min_3,max_3,min_4,max_4,min_5,max_5,min_6,max_6,min_7,max_7,min_8,max_8,min_9,max_9,min_10,max_10,min_11,max_11,min_12,max_12
Sebou,9.167,2.4949,2015,2015,0.0,0.0,12.9,42.5,14.2,44.7,14.4,46.4,20.0,44.5,20.6,42.0,19.6,40.0,19.5,40.3,17.9,34.7,19.2,34.1,19.5,37.7,15.6,39.5,12.9,40.0
Tchaourou,8.9,2.6,2006,2006,1.0,0.0,10.7,44.1,12.6,46.7,20.5,47.6,22.2,45.8,21.5,42.2,21.0,40.4,19.2,35.9,19.6,35.2,20.4,36.0,19.1,40.3,15.6,41.6,13.3,41.7
Amangassa,7.7755,2.1953,2012,2012,1.0,1.0,12.6,41.8,18.6,43.0,20.7,44.0,20.8,43.8,21.5,40.8,21.8,40.3,20.6,36.6,19.7,34.8,21.2,34.0,20.5,34.9,18.9,37.2,12.1,39.8
Dassa-Zoume,7.78,2.18,2001,2007,1.0,0.0,19.0,44.1,20.0,44.7,20.1,45.7,21.4,45.8,22.1,40.9,21.3,39.7,20.6,37.3,19.3,32.8,21.1,32.7,21.4,37.7,14.9,38.5,11.4,39.5
Lema,7.7667,2.2333,1998,2012,1.0,1.0,12.6,41.8,18.6,43.0,20.7,44.0,20.8,43.8,21.5,40.8,21.8,40.3,20.6,36.6,19.7,34.8,21.2,34.0,20.5,34.9,18.9,37.2,12.1,39.8
Camp Peulh Gome,7.8811,2.2126,2015,2015,0.0,0.0,17.7,42.6,19.9,43.2,20.6,43.0,21.6,42.1,21.4,38.5,18.4,37.2,19.0,37.0,20.0,33.8,19.4,34.7,20.1,36.0,18.7,38.6,14.4,39.9
Glazoue,7.9667,2.2333,2007,2007,1.0,0.0,19.0,44.1,20.0,44.7,20.1,45.7,21.4,45.8,22.1,40.9,21.3,39.7,20.6,37.3,19.3,32.8,21.1,32.7,21.4,37.7,14.9,38.5,11.4,39.5
Sowe,7.9667,2.211,2015,2015,0.0,0.0,17.7,42.6,19.9,43.2,20.6,43.0,21.6,42.1,21.4,38.5,18.4,37.2,19.0,37.0,20.0,33.8,19.4,34.7,20.1,36.0,18.7,38.6,14.4,39.9
Zougueme,7.8524,1.8446,2015,2015,0.0,1.0,16.5,41.4,19.6,42.1,19.4,42.1,21.6,40.9,21.4,37.7,18.3,37.0,19.3,36.8,19.8,33.8,20.0,34.9,20.2,35.8,18.4,37.6,14.4,38.8
Zoundji,7.8724,1.8221,2015,2015,0.0,1.0,16.5,41.4,19.6,42.1,19.4,42.1,21.6,40.9,21.4,37.7,18.3,37.0,19.3,36.8,19.8,33.8,20.0,34.9,20.2,35.8,18.4,37.6,14.4,38.8
Save,8.027999999999999,2.489,2007,2007,1.0,0.0,17.5,45.2,19.4,45.3,19.3,46.3,20.8,46.3,22.1,42.0,21.3,40.4,20.7,38.2,19.2,32.7,21.1,32.3,21.3,37.8,15.2,39.0,11.9,40.4
Aplahoue,6.936,1.671,2007,2009,1.0,0.0,12.4,39.6,12.5,40.5,22.0,42.1,20.4,39.3,19.6,40.0,22.0,35.9,21.0,33.1,20.1,35.3,21.4,34.3,21.1,36.8,21.3,37.8,17.0,38.8
Dogbo,6.8013,1.7829,2007,2009,1.0,0.0,12.4,39.6,12.5,40.5,22.0,42.1,20.4,39.3,19.6,40.0,22.0,35.9,21.0,33.1,20.1,35.3,21.4,34.3,21.1,36.8,21.3,37.8,17.0,38.8
Lanta,7.1,1.867,2007,2009,1.0,0.0,12.4,40.3,12.9,42.3,21.2,44.0,21.0,41.4,18.0,41.3,21.7,36.7,20.8,33.3,19.9,35.9,21.1,35.6,21.1,37.8,21.0,39.0,17.3,39.8
